Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1		
185	-2.25172	185	-2.0633		
186	-2.25172	186	-2.0633		
187	-2.25172	187	-2.23477		
188	-1.39437	188	-1.89183		
189	-1.39437	189	-2.92065		
190	-1.39437	190	-2.23477		
191	-1.39437	191	-1.89183		
192	-1.2229	192	-1.89183		
193	-1.39437	193	-1.89183		
194	-2.25172	194	-2.0633		
195	-1.39437	195	-2.92065		
196	-2.25172	196	-2.92065		
197	-2.25172	197	-2.92065		
198	-1.56584	198	-2.23477		
199	-1.39437	199	-2.0633		
200	-2.08025	200	-2.0633		
201	-1.2229	201	-1.89183		
202	-1.39437	202	-2.0633		
203	-1.2229	203	-1.89183		
204	-1.39437	204	-1.89183		
205	-2.25172	205	-2.23477		
206	-1.39437	206	-3.09212		
207	-2.25172	207	-3.09212		
208	-1.39437	208	-2.23477		
209	-2.25172	209	-2.74918		
210	-1.39437	210	-2.0633		
211	-2.25172	211	-2.0633		
212	-1.39437	212	-1.89183		
213	-1.39437	213	-2.23477		
214	-2.4232	214	-2.0633		
215	-1.39437	215	-2.0633		
216	-1.39437	216	-2.23477		
217	-2.25172	217	-2.23477		
218	-2.25172	218	-2.0633		
219	-1.39437	219	-2.23477		
220	-1.39437	220	-1.89183		
221	-2.25172	221	-1.89183		
222	-2.25172	222	-2.23477		
223	-1.39437	223	-2.74918		
224	-2.25172	224	-3.09212		
225	-2.08025	225	-2.23477		
226	-1.39437	226	-1.89183		
227	-1.39437	227	-3.09212		
228	-1.2229	228	-2.0633		
229	-1.39437	229	-2.0633		
230	-2.25172	230	-2.92065		
231	-2.25172	231	-2.92065		
232	-2.25172	232	-2.23477		
233	-1.39437	233	-2.40624		
234	-1.39437	234	-2.23477		
235	-1.39437	235	-2.0633		
236	-1.39437	236	-1.89183		
237	-2.25172	237	-2.0633		
238	-2.25172	238	-2.23477		
239	-2.25172	239	-2.92065		
240	-1.39437	240	-2.23477		
241	-2.25172	241	-3.09212		
242	-1.39437	242	-2.92065		
243	-1.39437	243	-2.0633		
244	-2.25172	244	-2.0633		
245	-1.39437	245	-2.23477		
246	-1.39437	246	-2.74918		
247	-1.39437	247	-2.23477		
248	-2.25172	248	-1.89183		
249	-1.39437	249	-1.89183		
250	-1.39437	250	-2.23477		
251	-1.39437	251	-2.23477		
252	-1.39437	252	-2.40624		
253	-1.39437	253	-3.09212		
254	-1.39437	254	-2.23477		
255	-1.56584	255	-2.23477		
256	-1.39437	256	-2.92065		
257	-2.08025	257	-2.92065		
258	-1.39437	258	-1.89183		
259	-1.39437	259	-2.23477		
260	-1.2229	260	-2.0633		
261	-1.39437	261	-1.89183		
262	-2.08025	262	-2.23477		
263	-1.39437	263	-1.89183		
264	-1.39437	264	-2.0633		
265	-1.39437	265	-2.23477		
266	-2.25172	266	-2.92065		
267	-1.39437	267	-2.23477		
268	-1.39437	268	-2.0633		
269	-1.39437	269	-2.92065		
270	-2.25172	270	-2.92065		
271	-1.39437	271	-1.89183		
272	-1.39437	272	-1.89183		
273	-1.39437	273	-1.89183		
274	-1.39437	274	-2.0633		
